X.periodo,escuela,cve.municipio,municipio,programa,programa.desglose,clave.carr,carrera,nuevo.ingreso,egresados,titulados,clasificacion,region,matricula
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 145,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,0,6,0,OTRO,centro,45
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 145,120,ZAPOPAN,LICENCIATURA,LIC. FORM. DOC.,512200008,LICENCIATURA EN EDUCACIÓN PREESCOLAR Y PRIMARIA EN EL MEDIO INDÍGENA,0,23,8,OTRO,centro,22
p2017-2018,CAMPUS UNIVERSITARIO OCTAVIO PAZ,30,CHAPALA,LICENCIATURA,LICENCIATURA,5041400032,LICENCIATURA EN CONTADURÍA PÚBLICA,12,0,0,OTRO,sureste,12
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,531100014,LICENCIATURA EN PSICOLOGÍA,82,9,23,UDG,norte,350
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,531200005,LICENCIATURA EN ANTROPOLOGÍA,0,0,1,UDG,norte,14
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,533000003,LICENCIATURA EN ADMINISTRACIÓN,35,22,11,UDG,norte,199
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,533100032,LICENCIATURA EN AGRONEGOCIOS,30,1,5,UDG,norte,140
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,533400037,LICENCIATURA EN CONTADURÍA PÚBLICA,63,20,7,UDG,norte,131
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,533507321,LICENCIATURA EN TURISMO,0,15,19,UDG,norte,23
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,534100001,ABOGADO,97,21,40,UDG,norte,505
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,551300052,INGENIERÍA EN ELECTRÓNICA Y COMPUTACIÓN,79,0,12,UDG,norte,209
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,551700091,INGENIERÍA EN TELEMÁTICA,29,1,5,UDG,norte,35
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,571200006,LICENCIATURA EN ENFERMERÍA,180,77,61,UDG,norte,891
p2014-2015,CENTRO UNIVERSITARIO DEL NORTE,25,COLOTLAN,LICENCIATURA,LICENCIATURA,571500011,LICENCIATURA EN NUTRICIÓN,65,34,26,UDG,norte,323
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,45,48,28,UDG,valles,302
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,531100014,LICENCIATURA EN PSICOLOGÍA,90,0,0,UDG,valles,558
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,531500007,LICENCIATURA EN TRABAJO SOCIAL,98,1,10,UDG,valles,461
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,533000003,LICENCIATURA EN ADMINISTRACIÓN,45,67,66,UDG,valles,375
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,533100032,LICENCIATURA EN AGRONEGOCIOS,45,24,9,UDG,valles,280
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,533400037,LICENCIATURA EN CONTADURÍA PÚBLICA,46,50,48,UDG,valles,329
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,533507321,LICENCIATURA EN TURISMO,46,48,29,UDG,valles,256
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,534100001,ABOGADO,45,49,66,UDG,valles,559
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,544100053,LICENCIATURA EN INFORMÁTICA,0,3,20,UDG,valles,0
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,544100103,LICENCIATURA EN SISTEMAS DE INFORMACIÓN,45,19,3,UDG,valles,197
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,551100125,LICENCIATURA EN INGENIERÍA MECATRÓNICA,45,17,2,UDG,valles,276
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,551300052,INGENIERÍA EN ELECTRÓNICA Y COMPUTACIÓN,45,7,0,UDG,valles,231
p2014-2015,CENTRO UNIVERSITARIO DE LOS VALLES,6,AMECA,LICENCIATURA,LICENCIATURA,571200006,LICENCIATURA EN ENFERMERÍA,372,187,361,UDG,valles,854
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,0,473,174,UDG,centro,1079
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,511200008,LICENCIATURA EN DESARROLLO EDUCATIVO,168,0,0,UDG,centro,168
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521100023,LICENCIATURA EN GESTIÓN CULTURAL,93,96,0,UDG,centro,472
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,532200003,LICENCIATURA EN BIBLIOTECOLOGÍA,0,55,16,UDG,centro,139
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,532200014,LICENCIATURA EN BIBLIOTECOLOGÍA Y GESTIÓN DEL CONOCIMIENTO,37,0,0,UDG,centro,64
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,533502046,LICENCIATURA EN ADMINISTRACIÓN DE LAS ORGANIZACIONES,209,148,23,UDG,centro,1048
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551700157,LICENCIATURA EN TECNOLOGÍAS E INFORMACIÓN,160,175,36,UDG,centro,646
p2014-2015,SISTEMA DE UNIVERSIDAD VIRTUAL,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,584100024,LICENCIATURA EN SEGURIDAD CIUDADANA,64,42,4,UDG,centro,263
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO SEDE SANTA MARÍA DE GARCÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521100008,LICENCIATURA EN ARTES VISUALES,129,89,49,UDG,centro,1116
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO SEDE SANTA MARÍA DE GARCÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521200024,LICENCIATURA EN ARTES ESCÉNICAS,60,27,41,UDG,centro,472
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO SEDE SANTA MARÍA DE GARCÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521300020,LICENCIATURA EN ARTES AUDIOVISUALES,0,10,9,UDG,centro,80
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO SEDE SAN AGUSTÍN,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521200142,LICENCIATURA EN MÚSICA,37,45,21,UDG,centro,221
p2014-2015,CENTRO UNIVERSITARIO DE LA COSTA SUR  SEDE SAN PATRICIO MELAQUE,22,CIHUATLAN,LICENCIATURA,LICENCIATURA,541100020,LICENCIATURA EN BIOLOGÍA MARINA,41,6,2,UDG,costa.sur,178
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,521100026,LICENCIATURA EN HISTORIA DEL ARTE,24,0,0,OTRO,centro,106
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,521400094,LICENCIATURA EN DISEÑO DE ARTESANÍA,25,0,0,OTRO,centro,175
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,522000009,LICENCIATURA EN ESTUDIOS LIBERALES,23,0,0,OTRO,centro,119
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,531500003,LICENCIATURA EN GERONTOLOGÍA,36,0,0,OTRO,centro,183
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,533100011,LICENCIATURA EN ADMINISTRACIÓN DE NEGOCIOS,81,0,0,OTRO,centro,502
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,533400037,LICENCIATURA EN CONTADURÍA PÚBLICA,80,0,0,OTRO,centro,345
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,534100001,ABOGADO,122,0,0,OTRO,centro,702
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,544100010,INGENIERÍA EN CIENCIAS COMPUTACIONALES,70,0,0,OTRO,centro,339
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,551200023,INGENIERÍA EN ENERGÍA,80,0,0,OTRO,centro,226
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,551700113,LICENCIATURA EN INGENIERÍA EN NANOTECNOLOGÍA,81,0,0,OTRO,centro,308
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,571101011,MÉDICO CIRUJANO Y PARTERO,102,0,0,OTRO,centro,418
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,571500011,LICENCIATURA EN NUTRICIÓN,30,0,0,OTRO,centro,30
p2014-2015,CENTRO UNIVERSITARIO DE TONALA,101,TONALA,LICENCIATURA,LICENCIATURA,571700006,LICENCIATURA EN SALUD PÚBLICA,35,0,0,OTRO,centro,236
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,522300034,LICENCIATURA EN LETRAS HISPÁNICAS,57,13,59,UDG,centro,503
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,522400004,LICENCIATURA EN ESTUDIOS INTERNACIONALES,0,8,38,UDG,centro,38
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,522400008,LICENCIATURA EN HISTORIA,66,14,65,UDG,centro,557
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,522500002,LICENCIATURA EN FILOSOFÍA,60,12,21,UDG,centro,470
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,531200005,LICENCIATURA EN ANTROPOLOGÍA,34,3,3,UDG,centro,249
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,531200052,LICENCIATURA EN SOCIOLOGÍA,77,4,22,UDG,centro,450
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,531300017,LICENCIATURA EN ESTUDIOS POLÍTICOS Y GOBIERNO,81,15,38,UDG,centro,553
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,531300025,LICENCIATURA EN RELACIONES INTERNACIONALES,82,0,1,UDG,centro,475
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,531500007,LICENCIATURA EN TRABAJO SOCIAL,222,127,287,UDG,centro,1378
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,532100059,LICENCIATURA EN COMUNICACIÓN PÚBLICA,0,7,1,UDG,centro,125
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,534100001,ABOGADO,673,375,708,UDG,centro,5720
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,542300022,LICENCIATURA EN GEOGRAFÍA,45,8,33,UDG,centro,325
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LIC. FORM. DOC.,512500005,LICENCIATURA EN DIDÁCTICA DEL FRANCÉS COMO LENGUA EXTRANJERA,38,2,8,UDG,centro,153
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,39,GUADALAJARA,LICENCIATURA,LIC. FORM. DOC.,512704050,LICENCIATURA EN DOCENCIA DEL INGLÉS COMO LENGUA EXTRANJERA,65,1,35,UDG,centro,220
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,541100039,LICENCIATURA EN QUÍMICO FARMACOBIÓLOGO,151,169,281,UDG,centro,1310
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,542100012,LICENCIATURA EN FÍSICA,45,26,32,UDG,centro,266
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,542200009,LICENCIATURA EN QUÍMICA,88,64,75,UDG,centro,542
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,543100006,LICENCIATURA EN MATEMÁTICAS,60,21,41,UDG,centro,291
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,544100053,LICENCIATURA EN INFORMÁTICA,187,115,87,UDG,centro,1084
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551000051,LICENCIATURA EN INGENIERÍA INDUSTRIAL,212,152,200,UDG,centro,1436
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551100053,INGENIERÍA MECÁNICA ELÉCTRICA,202,206,228,UDG,centro,1499
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551300186,LICENCIATURA EN INGENIERÍA EN COMPUTACIÓN,196,142,148,UDG,centro,1440
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551400067,LICENCIATURA EN INGENIERÍA QUÍMICA,165,165,189,UDG,centro,1381
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551700029,INGENIERÍA EN COMUNICACIONES Y ELECTRÓNICA,302,220,228,UDG,centro,2105
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,552100070,LICENCIATURA EN INGENIERÍA EN ALIMENTOS Y BIOTECNOLOGÍA,67,0,0,UDG,centro,304
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,553200002,INGENIERÍA CIVIL,134,131,190,UDG,centro,1157
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,553200040,LICENCIATURA EN INGENIERÍA TOPOGRÁFICA,45,23,13,UDG,centro,268
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,571400001,INGENIERÍA BIOMÉDICA,68,61,49,UDG,centro,451
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERÍA,39,GUADALAJARA,TSU,TSU,444100021,TÉCNICO SUPERIOR UNIVERSITARIO EN INFORMÁTICA,0,0,1,UDG,centro,0
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,531400008,LICENCIATURA EN ECONOMÍA,100,77,70,UDG,centro,636
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533000003,LICENCIATURA EN ADMINISTRACIÓN,360,419,413,UDG,centro,2811
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533100091,LICENCIATURA EN NEGOCIOS INTERNACIONALES,337,430,334,UDG,centro,2532
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533200028,LICENCIATURA EN MERCADOTECNIA,297,379,251,UDG,centro,2234
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533300015,LICENCIATURA EN ADMINISTRACIÓN FINANCIERA Y SISTEMAS,126,140,105,UDG,centro,859
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533400037,LICENCIATURA EN CONTADURÍA PÚBLICA,424,642,628,UDG,centro,3077
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533502130,LICENCIATURA EN RECURSOS HUMANOS,101,146,90,UDG,centro,769
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533503134,LICENCIATURA EN ADMINISTRACIÓN GUBERNAMENTAL,84,101,45,UDG,centro,590
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533507321,LICENCIATURA EN TURISMO,287,360,258,UDG,centro,2064
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,541200036,LICENCIATURA EN GESTIÓN Y ECONOMÍA AMBIENTAL,68,24,0,UDG,centro,484
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,544100103,LICENCIATURA EN SISTEMAS DE INFORMACIÓN,93,120,73,UDG,centro,584
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS ECONÓMICO ADMINISTRATIVAS,120,ZAPOPAN,TSU,TSU,433507074,TÉCNICO SUPERIOR UNIVERSITARIO EN GESTIÓN HOTELERA,0,0,1,UDG,centro,0
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,533100032,LICENCIATURA EN AGRONEGOCIOS,37,18,6,UDG,centro,187
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,541100014,LICENCIATURA EN BIOLOGÍA,227,210,148,UDG,centro,1448
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,552100038,LICENCIATURA EN CIENCIA DE LOS ALIMENTOS,43,34,12,UDG,centro,248
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,561100009,INGENIERÍA AGRÓNOMO,194,122,89,UDG,centro,1247
p2014-2015,CENTRO UNIVERSITARIO DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,562100003,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,240,194,234,UDG,centro,1734
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521200024,LICENCIATURA EN ARTES ESCÉNICAS,0,25,1,UDG,centro,10
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521300078,LICENCIATURA EN DISEÑO PARA LA COMUNICACIÓN GRÁFICA,180,111,96,UDG,centro,1207
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521400021,LICENCIATURA EN DISEÑO DE INTERIORES Y AMBIENTACIÓN,66,29,47,UDG,centro,498
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,521400030,LICENCIATURA EN DISEÑO DE MODAS,41,0,0,UDG,centro,305
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,551100093,LICENCIATURA EN DISEÑO INDUSTRIAL,80,69,47,UDG,centro,653
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,553100010,LICENCIATURA EN ARQUITECTURA,261,119,197,UDG,centro,1593
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,553100035,LICENCIATURA EN URBANÍSTICA Y MEDIO AMBIENTE,51,18,15,UDG,centro,368
p2014-2015,CENTRO UNIVERSITARIO DE ARTE ARQUITECTURA Y DISEÑO,39,GUADALAJARA,TSU,TSU,421200029,TÉCNICO SUPERIOR UNIVERSITARIO EN ARTES ESCÉNICAS PARA LA EXPRESIÓN DANCÍSTICA,0,0,1,UDG,centro,0
p2014-2015,CENTRO UNIVERSITARIO DE LA CIÉNEGA SEDE ATOTONILCO,13,ATOTONILCO EL ALTO,LICENCIATURA,LICENCIATURA,531100014,LICENCIATURA EN PSICOLOGÍA,35,0,0,UDG,cienega,35
